,Rating,Title,Review,Review_Date
10,4.0,Fabulous battery and super fast charging,"Liked everything at this price level best betCamera can be better, sometimes you get artificial blue faces , still a good one at this price level",8 September 2022
11,4.0,Fast charge God camera 📷,Excellent phone 📱,24 September 2022
12,4.0,Good phone,Go for it.,14 September 2022
13,4.0,Working Nice no issue found with this Handset.,,22 September 2022
14,4.0,Overall Good,Good,14 September 2022
15,4.0,It's a good Android phone,Good Android phone,21 September 2022
16,4.0,बहुत अच्छा प्रोडक्ट है,बहुत ही अच्छा है,17 September 2022
17,4.0,Good,Good,13 September 2022
18,4.0,Good,Good,16 September 2022
19,4.0,Battery issue.,Battery is 4500 mah and should be atleast 6000 for this phone as per the features.,19 September 2022
20,4.0,Headphone jack is not working properly,Fingerprint reader is good,Reviewed in India 🇮🇳 on 21 September 2022
21,5.0,A Pragmatic User's Take,"This is the best smartphone that I have ever owned. If you're someone like me, who wants to jump from the 10k range to a mid-range costing smartphone, I would suggest you go for it. My father and I bought the same phone model on the same day almost three months ago, both of us are not gamers or heavy users, but we prefer the smoothness of everyday workflow over everything else. So if you hate it when your phone takes an extended period of time to open up simple applications, you will love to upgrade to this. I had my apprehensions before buying because of the sceptical comments related to OnePlus dropping its quality, but frankly: I did not see a difference since I have never used a phone beyond the 20-25k price range. Spending more than this amount on a smartphone is just plain splurging in my opinion, especially for middle-class people like us.It does not have any apparent issues, if you take good care of it, I think it should probably last long.All in all, if you're looking for a no non-sense smartphone and think of a phone pragmatically and don't wish to delve into minute details, I would suggest going for this without any second thoughts.",Reviewed in India 🇮🇳 on 22 September 2022
22,4.0,Overall performance is good.,"Like-1. Camera 📸 quality is good.2. Touch is quite smooth and sensetive.3. Display is good.4. Performance is good no hanging issue,I'm not hard user also.5.  Overall design is good.6. 65 Watt charger charging first. it takes 50 to 55 minutes for full charge.Dislikes -1. Battery performance should little better.2. During charge battery gets little heat.3. Flash light power is quite low.4. I think this phone is not water resistant also.5. There is single speaker only. Sound is quite loud but it should give two speakers atleast.",Reviewed in India 🇮🇳 on 30 August 2022
23,4.0,Good 👍,,Reviewed in India 🇮🇳 on 10 September 2022
24,4.0,Good,Awesome,Reviewed in India 🇮🇳 on 14 September 2022
25,4.0,Not good,Not good,Reviewed in India 🇮🇳 on 14 September 2022
26,4.0,4 star diye hai samjh jao,Kabhi kabhi thoda sa hanging problem ho jati haiBaki thik hai,Reviewed in India 🇮🇳 on 14 September 2022
27,4.0,Ok,Supar,Reviewed in India 🇮🇳 on 23 September 2022
28,4.0,Overall Its good,"Overall, it's a good phone. Sometimes it takes restart",Reviewed in India 🇮🇳 on 13 September 2022
29,4.0,Overall good,Pros1. Superfast charging2. No glitches while using the phone3. Good display4. Light weightCons1. Camera okay. Not very good.2. Sometimes it gets heated up. But it's mild3. Single speaker. But loud.Overall it's not a topnotch phone but it's a good if are not a very very heavy user or a serious game enthusiastic.I am finding the phone quite decent,Reviewed in India 🇮🇳 on 8 September 2022
30,4.0,Nice product,Nice product  good camera,Reviewed in India 🇮🇳 on 13 September 2022
31,4.0,Good phone,"Battery backup is low,but fingerprint super",Reviewed in India 🇮🇳 on 12 September 2022
32,4.0,Decent phone from premium brand,"Not the best in the segment but good enough considering one plus phone.Pros: Awesome display, Smooth performance, Really fast charging( 15 to 100 in 25 min), Decent battery backup, Blue colour looks premium and beautiful.Cons: Camera Good but not the best in the segment, Sound quality average, Not really a gaming phone, No alert slider.",Reviewed in India 🇮🇳 on 4 September 2022
33,4.0,बैटरी बैकअप कम है और की अपेक्षा,बैटरी बैकअप कम है और की अपेक्षा,Reviewed in India 🇮🇳 on 21 September 2022
34,4.0,Camera clerity best in this phone,Best economy phone,Reviewed in India 🇮🇳 on 20 September 2022
35,4.0,Somewhat low camera quality,"Overall good, camera quality is bit concerning.",Reviewed in India 🇮🇳 on 22 September 2022
36,4.0,Heating problem,After use online video 3 to 4 hours heating lots,Reviewed in India 🇮🇳 on 18 September 2022
37,5.0,Value for money product ❤️,"The media could not be loaded.
                



 I am reviewing what I am facing in day to day task , using the phone since 1.5 months :Pros:1. Performance is superb, didn't feel any lag or bug yet.2. OS & Software: Got 2 security updates & 1 Android update ( Android 11 to 12 next day after purchasing the phone)3. Battery Charging : 40-45 min approx.4. Battery Drain: 1 day for moderate user ( WhatsApp, Insta, YouTube, Online Classes etc.)5. Gaming Performance: don't play any games so look some other's review.6. Camera: Superb in day light, descent in low light.7. Speaker: Single speaker is loud enough for your entertainment.8. Refresh Rate : for day to day task, 90 Hz r.r is smooth enough to perform.9. Special Features: Pocket Mode (No accidental impression on screen when phone is in your pocket), Expernal Storage ( Most of brand neglect this), 3.5 mm jack.Cons:1. Accidental screenshot is captured due to Volume button. It should be placed on slightly upper portion. You may the face the problem whenever you lock the screen.2. Camera should be improved in low light.3. It must be upgraded upto Android 14.Pro Tips: 1. Use ""Ultra Steady Mode"" to take video for your content/personal memory.2. Select 'Standard Refresh Rate' for better battery output.I will edit my review later if I face an issue regarding daily usage.",Reviewed in India 🇮🇳 on 24 September 2022
38,4.0,Good Mobile Device,Features as advertised. Migration and Data synch was quick and easy. Stable performance. A good buy,Reviewed in India 🇮🇳 on 19 September 2022
39,4.0,Good mobile,Heating problem .outherwise welll,Reviewed in India 🇮🇳 on 17 September 2022
40,4.0,"Compared to older OnePlus models, there is a drop in quality",Pros#Nice looks & good build#Clean UI sans bloatware#Capable primary camera#Good battery life and fast 65W chargingCons#Performance can't match rivals #Misses out on stereo speakers#Low-light camera performance could be better #No Android 12,19 September 2022
41,4.0,Battery backup not good,Battery backup not good,14 September 2022
42,4.0,Gud phone,Gud phone,4 September 2022
43,4.0,Overall good item,Camera quality could be much better,2 September 2022
44,4.0,Decent phone,"Bought this phone at 22K inr. So consider this price for my review.Camera is hit and miss. Sometime it takes amazing shot, sometimes it just fumbles.EIS with 1080p60 is amazing. You will capture more videos than expected.UI: Coming from MIUI. Its very easy for me to say Oxygen OS is amazing. No debate in thatBattery: Amazing, will change how you use your phone. 15 minute is enough for 4 hours of use. It gives so peace of mind, once you tried it you wont be able to live without it.FP sensor is okay not as snappy as side or rear one but still work fine. You wont notice it.Feel: Super Slippery buy a rugged case immediately. Amazing to look at like. But feels delicate.Price: for 22K its a steal. For original price add little more to get Nord 2T, Poco F4, Nothing phone(1) all these phone are affordable flagship.This phone is just a mid-range phone and should cost 22K for 25 you are better off with spending little more and get those above mentioned phones.",7 July 2022
45,4.0,Mst thanks Amazon,Betri and cemra,3 September 2022
46,4.0,Everything is good except camera quality,"Camera quality not good , finger print is best and battery excellent performance",3 September 2022
47,4.0,Good quality,Phone is really good as compare to other phone at this price range,3 September 2022
48,4.0,Poor battery,"Very poor battery backup.uopn continuous using mobile phone, battery dying within 4-5 hours.",3 September 2022
49,4.0,Good Quality Product.,Very Quickly Charging. Good Quality Camera Images. Very simply Used.,4 September 2022
50,4.0,"overall phone functioning is good, worth for money","front camera is good for normal and night mode also rear camera is satisfactory, complete battery charging takes 39 minutes",Reviewed in India 🇮🇳 on 6 September 2022
51,4.0,Worth to buy,Good phone for normal use with extended battery life and trouble free performance.,Reviewed in India 🇮🇳 on 6 September 2022
52,4.0,OnePlus Nord CE 2 5G,Battery life good,Reviewed in India 🇮🇳 on 15 September 2022
53,5.0,9.5/10,"The media could not be loaded.
                



 To give you a gist of the review, overall, the phone is 9.5/10.I'll talk about the specifics in this detailed review which shall give you the complete detailed aspect of the phone.1. DisplayThe display is quite vibrant. Brightness is great even in sunlight. Watching movies on netflix would be fun for you. Refresh rate of 90Hz works as a charm. Overall you won't find any issues with it.2. Processor & RamI have played quite decent games on it. Have run parallel apps at a single time. Couldn't find any lag in with this processor.3. BatteryYour phone charges from 20-100% in just 32 Mins. This 65 W charges is practically a blessing. I have screen time of around 6 hours. The battery lasts 24 hours very easily.4. CameraI don't use much of the camera but it is quite Okayish. Won't say excellent but will do the work.The front camera is quite good.5. Design & BodyThere is a little chin on the bottom of the phone which does not affect much to me but could have been improved. The back silver metallic finish bothers a lot as it shines like a mirror. Also, you will have small dots on the backpanel surface overtime. A cover can be used to minimise this effect. The only reason I reduced 0.5 in my rating is the back panel of the cellphone.6. Operating SystemLoved the operating System, pretty smooth, aesthetically pleasant, charm for your eyes.Overall this phone is a gem. You can always go for it.",Reviewed in India 🇮🇳 on 16 September 2022
54,4.0,Good smartphone with very good camera.. Cost is little high..Battery mAh should be little high..,Good smartphone with very good camera.. Cost is little high..Battery mAh should be little high..,Reviewed in India 🇮🇳 on 5 September 2022
55,4.0,OnePlus Nord ce 2 5 g mobile Touch not working,"My name is Vaheed, I'm buying from Amazon past 4 months back OnePlus Nord ce 2 5 g mobile, Till now mobile not slip my hand to earth, but mobile touch not working properly, kindly suggest me, what I can do.",Reviewed in India 🇮🇳 on 5 September 2022
56,4.0,Good,Cameras are not good.Except Cameras everything was good.,Reviewed in India 🇮🇳 on 2 September 2022
57,4.0,Charger is good,"Charger is very good,but camera and features are average, all over the average phone.",Reviewed in India 🇮🇳 on 9 September 2022
58,4.0,Good to use,Over all okay 👍,Reviewed in India 🇮🇳 on 5 September 2022
59,4.0,Value for money,One of the best phone from Nord series of oneplus...,Reviewed in India 🇮🇳 on 10 September 2022
60,4.0,Too heat in camera,Too heat in camera only 5 to 10 min,Reviewed in India 🇮🇳 on 3 September 2022
61,4.0,.,Good,Reviewed in India 🇮🇳 on 7 September 2022
62,4.0,Good,Good,Reviewed in India 🇮🇳 on 9 September 2022
63,4.0,Price matter,At this price it is best phone.,Reviewed in India 🇮🇳 on 2 September 2022
64,4.0,Best Budget Mobile,I have been using this mobile from last 5 months i would say this is best budget phone in 25K. The best and important features of this 65W changer you don't need to worry about charging your mobile it's like blink and you will find your mobile charged in 30 minutes of time.,Reviewed in India 🇮🇳 on 28 August 2022
65,4.0,Nice,Nice,Reviewed in India 🇮🇳 on 10 September 2022
66,4.0,Overall it's a good buying,Overall it's a great product.display is the main attraction.battery life is good u will get 1 day life on moderate usage.there is a mild heating on continues usage.65 watt charger is doing an great job. Camera is good but not great,Reviewed in India 🇮🇳 on 30 August 2022
67,4.0,All over is good but camera quality is not good and flash is also not good.,All over is good but camera quality is not good and flash is also not good.,Reviewed in India 🇮🇳 on 2 September 2022
68,4.0,Super,Super,Reviewed in India 🇮🇳 on 7 September 2022
69,4.0,Overall okay but it can't beat camera quality of oppo,"Biggest mistake was to order at Amazon. I myself went at Amazon depot to receive it because delivery boy was not ready to come at 6 pm. Return is most complicated in Amazon. They fixed appointment with technician yesterday and there is no call till now. Flipkart is best to handle quality issues...Amazon broke my trust this time...it's okay for shopping upto 500/-.Camera quality is average. Battery is 4500 only but good thing is charging is very fast. Back cover provided by oneplus is white coloured which masks the appearance of mobile.Moreover, i will use it not more than 6 months due to Camera quality.....which is a little disappointing if you have used Oppo..",Reviewed in India 🇮🇳 on 19 July 2022
70,4.0,Not bad,Good,Reviewed in India 🇮🇳 on 7 September 2022
71,4.0,Nice camera 📸,"The media could not be loaded.
                



 Nice camera 📸📸Battery backup not good",Reviewed in India 🇮🇳 on 20 September 2022
72,5.0,Poor performance,After three months of use... honest review for all of you...most of the features are good.howvwr it has very high heating issues and things stop working when it will heat up a bit. Had a word with CS team. They are giving options for troubleshooting but no one bothering to fix issue. Not worth buying this phone,Reviewed in India 🇮🇳 on 27 September 2022
73,4.0,Nice product,,Reviewed in India 🇮🇳 on 3 September 2022
74,4.0,Overall Experience After 4 Months,Camera - 6/10Battery Life - 7/10Processor - 10/10Touch- 10/10Display- 9/10,Reviewed in India 🇮🇳 on 3 September 2022
75,4.0,Valueable phone under 25k,"Finger print sensor is too fast, battery back up are not up to the mark, battery lasts at 20-24 hour for mild use not for heavy use.Camera quality is best, it beautifully captures nature scenery even in night without night mode.Looks are awesome, it feels premium in hand with glass appearance.Overall ,it is a best phone in this price segment.If looks and camera are your priority then, must go for it.",Reviewed in India 🇮🇳 on 30 July 2022
76,4.0,50 50 product,Not bad,Reviewed in India 🇮🇳 on 2 September 2022
77,4.0,"GO FOR THE 8GB RAM "" MIRROR GRAY ""COLOR 🔥🔥 And","The media could not be loaded.
                



 Display super smoth 90hz with 8gb ram and Looks are excellent and brand value,Camera is decent little bit more contrasty and stabilization is excellent only EIS.  (NO SCAM OR FAKE PRODUCT OR DEFECTIVE ON MY CASE) you must know the new policy of packaging. Do Not accept mobile if package is broken or there is any tape on package and u must record ur UNBOXING VIDEO for PROOF",Reviewed in India 🇮🇳 on 14 August 2022
78,4.0,Good mobile,Good mobile,Reviewed in India 🇮🇳 on 30 August 2022
79,4.0,Charging problem is major problem,"Fast charging, very very fast discharge.Else other camera & other performance is good",Reviewed in India 🇮🇳 on 20 August 2022
80,4.0,Best phone in India,I like this phone,2 September 2022
81,4.0,"Only 2 week's now,So far so good, but Alexa not that much satisfactory","Only 2 week's now,So far so good, but Alexa not that much satisfactory",28 August 2022
82,4.0,Just okay,Average,2 September 2022
83,5.0,Android auto does not work.,"The phone is good apart from issue with Android Auto connectivity. So if user needs to connect Android Auto then please don't buy this phone. There is no issue with the car's system as MI phone is getting connected without any issues.I liked the all other features, light weight, smooth transition camera and sound quality is also good.I had WhatsApp chat with One plus customer care. They suggested multiple troubleshooting steps nothing worked.",21 September 2022
84,4.0,Excellent product.,Excellent mobile.,1 September 2022
85,4.0,Device specs,Phone is very nice but still some minor features is not there I think it's may be Android versions 12 issue.,20 August 2022
86,4.0,Over its great for daily usage and camera is amazing .,"Plus points: display, battery, processer, 5g",31 August 2022
87,4.0,Camera quality is not as expected,Poor camera quality so not satisfiedExcept camera Avery thing is very good qualitative,21 August 2022
88,4.0,Battery performance,Battery consumption is very fast,30 August 2022
89,4.0,Slim and stylish,Case cover qualiy was poor,30 August 2022
90,4.0,Battery,Battery life is ok Only one day using Charge bown,27 August 2022
91,4.0,Phone to accha hai lakin,Phone to accha hai lakin,24 August 2022
92,4.0,For Average budget good phone,I like this phone...,20 August 2022
93,4.0,Good phone under 25k,Phone is good . Everything is good . There should be 4K 60fps video recording .,4 September 2022
94,4.0,Superfast charging,Best phone on this price range,25 August 2022
95,4.0,"Good product,but not excellent ok product",Battery life good for first 6month after software upgrade battery drain very speed.Fast charger working good.camera quality 👍,25 August 2022
96,4.0,Front camera,The front camera is not much good,28 August 2022
97,4.0,Good,Good,31 August 2022
98,4.0,Value for money but if you buy this around 20k,"Camera and battery could be better, Android 11 was good enough, Android 12 is not that much good, coz of battry consumption or in 12 ,OnePlus removed some good features and added themes and many more unuseful features",25 August 2022
99,4.0,Camera,Good phone with great charging time. Only thing i didnt like is the camera in low light its really bad. During day time its good.Apart from the camera im loving everything else from the phone,12 August 2022
100,4.0,great,great,1 September 2022
101,5.0,Battery Backup 🌟🌟🌟🌟🌟,I am giving this review because I have not had any problem with this phone till now.i have been using this phone for 2 monthsand there is no problem in running it.And I will thank the courier boy of amazon who delivered me ahead of time and the box opened in front of me.Thanks to Amazon & one plus⭐⭐⭐⭐🌟battery backup:-5/⭐⭐⭐⭐⭐fingerprint reader:-5/⭐⭐⭐⭐⭐camera quality:-5/⭐⭐⭐⭐⭐,18 September 2022
102,4.0,After few months,"At this price nice phone 📱,but one things not given as a one plus phone alert sider not given.",18 August 2022
103,4.0,Amazing phone but a little expensive!,Nice phone on this price range. Go for it!,25 August 2022
104,4.0,Midrange flagship,Good product,23 August 2022
105,4.0,Value of money....,,20 August 2022
106,5.0,Awesome,Everything is good... Camera is top notch... Just one con.. Battery gets drained within 1 day even if u don't use it...but it charges to 100% within 15 mins bcoz of ultra fast charging so no issues as such.. Go and buy this beast🔥🔥🔥 in Affordable pricing Range ..,23 September 2022
107,4.0,Battery drain very fast,Haevy user it's not for you because battery 🔋 draining very fast.Also Alexa not working properly,22 August 2022
108,4.0,It's very handy and easier n simple to use any hassle free...n looks Vee nice,"All features are quite good well designed , camer quality and selfie camera is really good. The rest still not used for long time, after few days will come to know how really it works.",20 August 2022
109,4.0,Above average,Liked it,25 August 2022
110,4.0,Mobile performance is very good,Mobile performance is good but Bluetooth connect my earbuds same time different different connect please solve this problem,23 August 2022
111,4.0,"Good phone under budget. Seems like color OS, rather than oxygen OS. And slow software updates","Good phone under budget. Seems like color OS, rather than",19 August 2022
112,4.0,Good Product,"Display ok ok, battery life very good, fast charging, Back camera so good but front camera not good.go for it.",23 August 2022
113,5.0,Awesome choice to upgrade yourselves.,Pehle sab mujhe ignore karte theeee.....Fir mene oneplus ka mobile le liyaaaa......🤣🤣Best part of it is I didn't had to worry about Android 11 anymore as I got updated to Android 12 in very first month. Performance is cool. Look is cool. Camera is cool. Gaming is cool. You will get fulfilled on very first update. Means dude what else you need. Attractive choice👌👌👌👌,15 September 2022
114,4.0,Fingerprint not working,Good,29 August 2022
115,4.0,Super,Camera is good. Light weight and slim phone. Comfortable in hand. Overall nice budget phone.,22 August 2022
116,4.0,Good,Good,28 August 2022
117,4.0,Nice phone,Nice phone . timely delivered by Amazon ..but there is no discount by Amazon on this phone...,29 August 2022
118,4.0,Good Quality Phone,1st Day Gate A Update for Android 12,26 August 2022
119,4.0,Fantastic,Overall the performance is good,22 August 2022
120,4.0,Best mid range premium phone.,The phone is good but some time having heating issue.,27 August 2022
121,4.0,quality built,"The phone quality is good the main drawback is brightness,you always have to keep it higher",20 August 2022
122,4.0,Very good product,"The media could not be loaded.
                



 Very low quality, finger print good ,and battery performance ok",9 September 2022
123,4.0,Good,Good,25 August 2022
124,3.0,"Batter than others, but this smartphone's features could be more than what we got","Face unlock is not working so that fast, as i have redmi note 10s also, but at same lighting conditions redmi can unlock phone fastly and securely, there is many problem with nord ce2 for face unlockLag in bgmi( tested before ban), some network drop problem faced,Positive points- back of smartphone is fantastic with some kind of mirror and gray which is a next level of technology ,Display quality is absolutely fine,Heating is there but it could be negligibleOver-all smartphone experience is quite fine 👍",13 September 2022
125,4.0,👍,👍,21 August 2022
126,5.0,Very Good Phone...I liked it very much.,"I Liked this phone very much.Its very smooth to use and also camera quality is good as well as fingerprint sensor,very stylish and premium look from the back.Overall I recommend one to purchase this phone of OnePlus.",18 September 2022
127,5.0,Perfect device for performance and display with above average camera,It is the best phone for performance and battery... But display has a thicker chin which may be disappointing.... But the 90hz display is the best one for this price definitely recommend at this price with good capable rear cam,25 September 2022
128,4.0,Best,Osm mobile,19 August 2022
129,4.0,Great buy if you want a OnePlus brand for this price,"Decent phone. Amazing battery. Average camera. Very light weighted and amazing to hold. Looks elegant (for the price range). Great screen quality. Average speakers. Fast and accurate face id but slow fingerprint reader. Comes with 3.5mm jack. Go for the blue colour, grey looks ugly.",9 August 2022
130,3.0,OnePlus Nord ce 2 review,OnePlus is pathetic about updates and after each update the phone gives some issues like internet issues battery drain and now after Android 12 the phone has become like oppo phone and the feel of oxygen OS is completely gone and the brand value of OnePlus will fade if they will continue like this and this is my review after 7 months of usageScreen 5/5Battery 2.5/5Build 3.5/5Overall the phone is average considering the price and features,Reviewed in India 🇮🇳 on 21 September 2022
131,4.0,It's been 2months with this product... Am happy with this model..,Battery life plays a vital role and it's worth for money... Camera and display quality is Good... everyone knows that Always one plus is good for display. Thanks for Amazon and oneplus,Reviewed in India 🇮🇳 on 13 August 2022
132,4.0,"Little bit of hanging issues..,overall 3.5star","The media could not be loaded.
                



 Dislike , hanging issuesIf you can't provide a better product you should never launchYou should keep the price tight ...Don't try too launch your self in every segmentYou are good at 35k + range be in that manMy badluck",Reviewed in India 🇮🇳 on 14 August 2022
133,4.0,Owesom mobile,owesom mobile fast charge . look like beautiful,Reviewed in India 🇮🇳 on 13 August 2022
134,4.0,decent,,Reviewed in India 🇮🇳 on 24 August 2022
135,4.0,Best quality,Very good mobile for using offical work,Reviewed in India 🇮🇳 on 16 August 2022
136,4.0,Very nice,,Reviewed in India 🇮🇳 on 22 August 2022
137,4.0,DISAPPOINTED WITH CAMERA QUALITY,I am not satisfied with camera quality. so poor camera quality . I only purchase this mobile for camera quality. but this mobile's camera Is bad.  I am very disappointed with this mobile phone.,Reviewed in India 🇮🇳 on 14 August 2022
138,5.0,Best in budget Phone range - Awesome Camera,"Reviewing after 6 month of use.Battery backup - GoodRefresh rate - BestCamera - After update superNo heat issue, everything looks good.Best buy at this price",Reviewed in India 🇮🇳 on 18 September 2022
139,4.0,Good decent phone.,This phone is a perfect phone for a person who is normal user and want a good phone under 25k .DESIGN:-7.5BATTERY:-8CAMERA:-6PERFORMANCE:-7.5,Reviewed in India 🇮🇳 on 12 August 2022
140,4.0,Nice product. But issues in Ring volume.,"Camera, Battery life etc is good. It charges very fast. The back key and toggle function aren't great though. Also wish there was Lasso function in the photo edit.",Reviewed in India 🇮🇳 on 4 August 2022
141,4.0,A total balanced phone,It's a total balanced phoneIt has a good camera1 day battery lifeQuick responseGood gamingBloatware free OSGREAT 1+ BRAND VALUEIf you want a complete package you can buy this phone,Reviewed in India 🇮🇳 on 11 August 2022
142,4.0,Not Good Not Bad,Mobile is like lottery you can get best and defective pieces. Camera suprised me i had seen many reviews degrading camera but for me it was good. Battery power charging is amazing in no time battery gets charged but battery life may not survive a day also. Hanging issue I have noticed after usage of 3 months and i don't play games. Feeling and look is good. Call recording other will be informed if you will be recording. Compass not available. VR feature also not available.,Reviewed in India 🇮🇳 on 26 July 2022
143,4.0,Bateri bacup not ok,"The media could not be loaded.
                



 बैटरी लाइफ वेरी वेरी पुअर",Reviewed in India 🇮🇳 on 8 September 2022
144,4.0,👍,Great mobile with affordable price....,Reviewed in India 🇮🇳 on 13 August 2022
145,5.0,Really good in this price range.,"Its a very nice, handy light weight, nice display good performance phone. More options available for customisation. Very happy to use this phone. Loved this model.",Reviewed in India 🇮🇳 on 24 September 2022
146,4.0,Good phone,Awesome battery lifeExtremely fast chargingGood camera qualityOverall a good deal in this price range,Reviewed in India 🇮🇳 on 18 August 2022
147,4.0,Gud,Price segment gud phone,Reviewed in India 🇮🇳 on 17 August 2022
148,4.0,Not really satisfying,Could have had even more features at this costNot the best smartphone at this price and time,Reviewed in India 🇮🇳 on 8 August 2022
149,4.0,Waist of money phone,"Camera quality nit good, look like Chanies phones",Reviewed in India 🇮🇳 on 19 August 2022
150,4.0,ফোন টা দেখতে বেশ ভালোই,"দেখতে বেশ ভালো। ফটোও বেশ ভালো ওঠে, তবে ফোন করতে মাঝে মাঝে সমস্যা হয়, wifi calling এর কিছু একটা সমস্যা।",14 August 2022
151,4.0,So Nice Good Quality,Super,17 August 2022
152,4.0,Not worth for money,Camera quality poor,18 August 2022
153,5.0,Best smartphone 🔥,Am disappointed with battery because comparing to normal realme redmi OnePlus is poor in battery lifeBut one advantage is 65w fast charge,23 September 2022
154,4.0,Budget phone,Good phone with required features with a trust of OnePlus brand,15 August 2022
155,5.0,Overall is good but battery life is not good,Phone is goodCamera is goodBattery life not so much goodPerformance bis goodFeature is goodSpeed is goodFrequently update is also good,19 September 2022
156,4.0,Very nice,All brand compared it is best but not on iphone leval,16 August 2022
157,4.0,Phone is good,Camera quality is good but battery is average.,24 August 2022
158,4.0,Product is ok.,Mobile is light weight.but the camera quality need to improve. Overall product is ok.,17 August 2022
159,4.0,NOT UPTO THE MARK,SCREEN IS NOT SO SATISFYING,17 August 2022
160,4.0,Phone is good...worthy for the price.camera quality is bit bad,"Except camera quality,phone is good in price range",16 August 2022
161,4.0,Nice phone,"Phone is nice, worthable to buy.",16 August 2022
162,4.0,Nice,,19 August 2022
163,4.0,Overall Good package in this price,,19 August 2022
164,4.0,Good,Phone is good,15 August 2022
165,4.0,One Plus mobile performance is good,"One Plus mobile performance is good, i used almost one months and result is good battery life also OK",7 August 2022
166,4.0,Camera bad,Camera worst,16 August 2022
167,4.0,Under 25000 best Phone,Awesome and good looking,12 August 2022
168,4.0,Good,Good,13 August 2022
169,4.0,Outstanding superb!!,Outstanding!!,13 August 2022
170,4.0,Good,Good but was expecting more,14 August 2022
